ref_id,citation_text,source_type,source_id,claim_context,priority,exists,accessible,supports_claim,note,last_checked
1,glymphatic system 發現與命名，Nedergaard 2012 開創性研究,PMC,PMC4636982,§1.1 膠質淋巴系統的發現與命名,high,T,T,partial,"PMC4636982 = Jessen NA et al. 2015 review ""A Beginner's Guide"", NOT the 2012 original. Original = Iliff JJ et al., Sci Transl Med 2012, PMID:22896675, PMC:PMC3551275. citation_id points to review, claimed as ""Nedergaard 2012 discovery paper"" — citation mismatch",2026-08-03
2,Glymphatic System: A Beginner's Guide,PMID,PMID:25947369,§1.1 CSF 沿動脈周圍間隙流入的基礎描述,high,T,T,T,"PMID:25947369 = same paper as ref_id=1 and ref_id=3 (Jessen/Nedergaard 2015 Beginner's Guide, PMC4636982). Review covers basic CSF flow along perivascular spaces. Supports claim context about CSF inflow along periarterial spaces.",2026-08-03
3,同上文獻的 PMC 版本,PMC,PMC4636982,§1.1 同引用2，重複引用（PMC 版本）,high,,,,,
4,Glymphatic System: A Novel Component of Fundamental Neurobiology,PMC,PMC8603752,§1.1 功能性實驗證明清除 Aβ,high,T,T,F,"PMC8603752 = Hablitz LM, Nedergaard M, J Neurosci 2021. Paper exists and is a legitimate glymphatic review. BUT: ORPHAN citation — only listed in works cited (L215), never referenced in body text.",2026-08-03
5,"Brain's waste-clearance pathways revealed for the first time (OHSU News, 2024)",URL,news.ohsu.edu/2024/10/07/...,§1.1 人類神經外科患者 MRI 證實清除通道存在,high,T,T,T,"OHSU News 2024 article. Verified fetch (200 OK). Reports human neurosurgical patients confirming waste clearance channels via intraoperative MRI contrast. Article title: ""Brain's waste-clearance pathways revealed for the first time."" Directly supports the body text claim at L15.",2026-08-03
6,Glymphatic system: Anatomo-physiological principles (Acta Neurologica),DOI,DOI:10.36131/anc.2023.04.02,§1.1 引用可能支援解剖生理基礎描述,med,,,,,
7,"Neurofluids and the glymphatic system: anatomy, physiology (PMC, 2023)",PMC,PMC10607419,§1.3 呼吸是驅動 CSF 流動的重要力量 / §3.2 脊髓系統驅動力,high,T,T,T,"Wang DJ et al., Br J Radiol 2023. Review covers neurofluid circulation physiology including respiration, cardiac pulsation as driving forces. Citation matches the claim about respiratory CSF flow dynamics.",2026-08-03
8,"Glymphatic System Dysfunction in CNS Diseases and Mood Disorders (PMC, 2022)",PMC,PMC9082304,§4 系統失靈與 CNS 疾病的關聯,high,T,T,F,"PMC9082304 = Zhang D et al., Front Aging Neurosci 2022. Review covers glymphatic dysfunction in CNS diseases and mood disorders. BUT: ORPHAN citation — only in works cited (L219), never referenced in body text.",2026-08-03
9,"Cerebral Microcirculation, Perivascular Unit, and Glymphatic System: Role of Aquaporin-4 (Frontiers, 2021)",DOI,DOI:10.3389/fneur.2021.767470,§1.2 AQP4 極化分佈與血管周圍單元,high,T,T,F,"Szczygielski J et al., Front Neurol 2021 (PMC:PMC8710539). Paper exists but is an ORPHAN citation — listed in works cited but never referenced in body text (AQP4 sections use ref [1] instead). Accessible=T, exists=T, supports_claim=F because there is no claim to support in the text.",2026-08-03
10,"Loss of aquaporin-4 results in glymphatic system dysfunction (bioRxiv, 2022)",DOI,DOI:10.1101/2022.07.27.501409,§1.2 AQP4 喪失導致膠質淋巴功能障礙,high,T,T,F,"DOI:10.1101/2022.07.27.501409 = Gomolka RS et al., bioRxiv 2022. AQP4 KO mice show glymphatic dysfunction via brain-wide ISF stagnation. Paper directly relevant to AQP4 loss → glymphatic dysfunction claim. BUT: ORPHAN citation — only in works cited (L221), never referenced in body text.",2026-08-03
